property_type,neighbourhood,city,gps_lat,gps_lon,infra_zone,length_m,width_m,area_m2,num_bedrooms,num_bathrooms,floor_level,shared_wc,has_parking,has_generator,has_water_meter,fiber_internet,security_gate,standby_power_kva,road_frontage_m,shopfront_quality,loading_bay,near_school,near_market,near_hospital,near_highway,near_university,structural_quality,condition_score,build_year,flood_risk,noise_level,title_type,advance_months,estimated_rent
warehouse,cite_sic,douala,4.069559,9.72809,IV,22.0,21.0,462.0,0,0,0,0,1,1,1,0,0,10.0,4.0,5,0,1,1,0,0,0,5,5,1991,0,8,occupation,1,300500
house,cite_sic,douala,4.060448,9.726414,III,15.0,15.0,225.0,3,1,0,0,1,1,1,1,0,0.0,0.0,0,0,1,0,0,0,0,5,5,2022,1,3,none,3,271500
shop,cite_sic,douala,4.064505,9.726656,II,8.0,6.0,48.0,0,0,0,0,0,0,1,1,0,0.0,8.0,3,0,1,1,0,1,1,6,4,1991,0,4,occupation,6,320500
warehouse,omnisport,yaounde,3.873087,11.522443,IV,47.0,35.0,1645.0,0,0,0,0,1,0,1,0,1,20.0,12.0,0,0,0,1,0,1,0,10,4,2011,0,9,foncier,3,1035000
store,yassa,douala,4.027589,9.779364,IV,24.0,13.0,312.0,0,0,0,0,0,0,1,0,1,0.0,8.0,2,0,1,1,1,1,0,7,6,2019,0,8,occupation,3,467000
warehouse,yassa,douala,4.029023,9.780438,I,12.0,36.0,432.0,0,0,0,0,1,1,1,0,1,20.0,13.0,5,1,0,0,0,0,0,3,9,1981,0,8,foncier,1,594000
warehouse,ndogpassi,douala,4.087221,9.741968,III,21.0,38.0,798.0,0,0,0,0,1,1,1,1,1,20.0,8.0,0,1,1,1,1,0,1,5,10,2005,0,6,none,3,612000
house,deido,douala,4.06408,9.712117,I,14.0,9.0,126.0,5,3,0,0,1,0,1,0,1,0.0,0.0,0,0,0,1,1,0,0,6,9,2010,0,1,occupation,3,464000
land,olembe,yaounde,3.946583,11.491327,V,46.0,8.0,368.0,0,0,0,0,1,0,1,0,0,0.0,0.0,0,0,1,0,0,1,0,3,3,1978,1,4,occupation,3,13500
apartment,nlongkak,yaounde,3.864524,11.505726,IV,14.0,6.0,84.0,2,1,2,0,0,1,1,0,1,0.0,0.0,0,0,1,1,0,0,0,7,6,1994,1,9,occupation,6,181000
house,nkol_foulou,yaounde,3.817115,11.483856,III,12.0,13.0,156.0,4,2,0,0,0,0,1,0,0,0.0,0.0,0,0,1,0,0,1,0,6,8,1998,0,4,foncier,1,251000
studio,bonanjo,douala,4.043843,9.697084,II,8.0,3.0,24.0,1,1,1,1,1,1,0,0,0,0.0,0.0,0,0,1,1,1,0,1,6,9,2001,1,3,foncier,3,195500
apartment,nyalla,douala,4.098563,9.758789,V,15.0,7.0,105.0,2,1,4,0,0,0,0,0,0,0.0,0.0,0,0,0,1,1,1,0,5,8,1990,1,2,occupation,6,110500
apartment,essos,yaounde,3.875137,11.534594,III,8.0,5.0,40.0,3,1,3,0,0,1,1,1,0,0.0,0.0,0,0,1,1,0,0,0,7,4,1989,0,2,foncier,6,180500
studio,ekounou,yaounde,3.813325,11.551479,IV,4.0,6.0,24.0,1,1,1,0,0,0,1,1,1,0.0,0.0,0,0,1,0,0,1,0,10,5,1993,0,4,foncier,3,113500
studio,ngousso,yaounde,3.895385,11.537312,IV,6.0,5.0,30.0,1,1,1,0,0,1,1,0,0,0.0,0.0,0,0,0,1,0,0,1,10,5,1992,0,4,occupation,3,109000
apartment,odza,yaounde,3.930029,11.564164,III,8.0,6.0,48.0,4,1,4,0,0,0,0,1,1,0.0,0.0,0,0,1,0,1,1,0,10,8,2000,0,5,occupation,1,191000
apartment,bonanjo,douala,4.047356,9.699645,IV,7.0,11.0,77.0,3,2,3,0,0,1,1,0,1,0.0,0.0,0,0,1,1,0,0,0,7,3,1998,0,3,foncier,2,293500
apartment,deido,douala,4.056109,9.705871,III,13.0,11.0,143.0,2,1,5,0,1,0,0,1,0,0.0,0.0,0,0,1,1,0,0,0,4,5,1977,0,7,none,1,262500
house,deido,douala,4.064195,9.707991,III,10.0,13.0,130.0,5,3,0,0,0,0,0,1,0,0.0,0.0,0,0,1,1,1,1,1,8,7,1978,0,1,none,1,347000
house,akwa,douala,4.045585,9.703469,II,6.0,15.0,90.0,4,2,0,0,1,1,1,0,1,0.0,0.0,0,0,1,1,0,1,0,5,7,2010,0,5,none,3,341500
studio,bastos,yaounde,3.883856,11.514786,I,6.0,4.0,24.0,1,1,2,0,1,0,1,1,0,0.0,0.0,0,0,1,1,1,0,1,10,6,1980,0,10,foncier,3,307500
house,ekounou,yaounde,3.810089,11.55202,V,20.0,9.0,180.0,4,1,0,0,1,1,1,0,1,0.0,0.0,0,0,0,1,0,0,0,9,5,1994,0,10,none,3,152500
house,odza,yaounde,3.932618,11.562934,IV,14.0,11.0,154.0,2,2,0,1,1,1,0,0,1,0.0,0.0,0,0,0,1,0,1,0,4,9,2021,0,4,occupation,3,161500
store,bonanjo,douala,4.049969,9.696698,III,24.0,12.0,288.0,0,0,0,0,1,1,1,0,0,0.0,19.0,0,0,0,0,0,1,0,3,8,2016,0,3,foncier,3,810500
studio,nyalla,douala,4.100095,9.75681,III,6.0,3.0,18.0,1,1,1,1,0,0,0,0,1,0.0,0.0,0,0,1,1,0,0,1,6,5,1977,0,8,occupation,6,33500
studio,melen,yaounde,3.911549,11.539382,III,5.0,4.0,20.0,1,1,1,0,0,0,1,0,1,0.0,0.0,0,0,1,1,1,1,0,4,9,2007,0,6,none,6,96000
shop,essos,yaounde,3.88409,11.526204,I,13.0,9.0,117.0,0,0,0,0,1,0,1,0,1,0.0,10.0,1,0,1,1,1,1,0,3,4,1979,0,7,occupation,6,615500
shop,odza,yaounde,3.932067,11.562633,III,5.0,7.0,35.0,0,0,0,0,1,1,1,1,1,0.0,6.0,5,0,1,1,0,0,0,4,4,2011,0,9,occupation,6,225500
office,nyalla,douala,4.099834,9.757228,IV,10.0,18.0,180.0,0,1,4,0,0,0,1,0,1,10.0,9.0,3,0,0,1,0,1,0,5,8,2007,0,10,occupation,3,477500
office,bonapriso,douala,4.038044,9.681857,V,10.0,11.0,110.0,0,1,3,0,1,0,1,0,1,0.0,5.0,2,0,1,0,0,1,0,8,3,1988,0,10,foncier,3,445500
shop,ngousso,yaounde,3.894834,11.532613,IV,9.0,4.0,36.0,0,0,1,0,1,1,1,0,0,0.0,12.0,5,0,1,1,0,0,0,6,8,2009,0,10,occupation,1,257500
house,olembe,yaounde,3.952772,11.499705,V,14.0,5.0,70.0,3,1,0,0,0,0,0,0,1,0.0,0.0,0,0,1,1,1,0,0,8,10,1994,0,5,foncier,3,128500
apartment,ndogpassi,douala,4.094452,9.746627,V,8.0,9.0,72.0,2,2,4,0,0,1,0,0,1,0.0,0.0,0,0,1,1,1,0,1,7,5,1996,0,7,none,3,116000
house,omnisport,yaounde,3.869404,11.515048,IV,19.0,8.0,152.0,3,2,0,0,1,0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,4,7,2004,0,8,occupation,6,285500
studio,odza,yaounde,3.933867,11.555585,IV,8.0,5.0,40.0,1,1,0,0,1,0,0,1,1,0.0,0.0,0,0,0,1,0,1,0,7,6,1977,0,3,occupation,2,99000
shop,mvog_mbi,yaounde,3.859584,11.509031,III,12.0,8.0,96.0,0,1,1,0,1,1,1,0,1,0.0,17.0,3,0,1,1,0,1,0,10,5,2018,0,2,foncier,3,534500
store,essos,yaounde,3.883977,11.527781,I,10.0,19.0,190.0,0,1,0,0,1,1,1,0,1,0.0,12.0,3,1,0,0,0,1,1,8,5,1991,0,7,occupation,2,649000
house,nlongkak,yaounde,3.86387,11.512295,V,12.0,15.0,180.0,4,2,0,0,0,0,1,0,1,0.0,0.0,0,0,0,1,0,0,1,6,10,1997,1,8,occupation,2,193000
land,nkoldongo,yaounde,3.832513,11.489089,IV,36.0,45.0,1620.0,0,0,0,0,1,1,1,1,1,0.0,0.0,0,0,0,1,1,1,0,6,3,1981,0,9,none,1,215500
house,essos,yaounde,3.884847,11.529887,I,14.0,9.0,126.0,3,3,0,0,1,0,1,0,1,0.0,0.0,0,0,1,0,0,0,0,6,8,1978,0,9,foncier,6,346000
apartment,odza,yaounde,3.934316,11.55699,II,5.0,6.0,30.0,3,2,3,0,0,1,1,0,0,0.0,0.0,0,0,0,1,0,0,1,6,4,2004,0,3,occupation,3,153000
land,bonaberi,douala,4.059442,9.658562,III,38.0,44.0,1672.0,0,0,0,0,1,1,1,1,1,0.0,0.0,0,0,0,1,0,0,1,4,5,1991,0,3,occupation,2,290000
studio,logpom,douala,4.077064,9.723264,II,7.0,6.0,42.0,1,1,1,1,1,1,1,0,0,0.0,0.0,0,0,0,1,0,0,0,5,10,1994,0,8,none,3,136000
warehouse,biyem_assi,yaounde,3.850923,11.490396,I,30.0,31.0,930.0,0,0,0,0,1,0,1,0,1,0.0,14.0,5,0,1,1,0,1,1,7,4,2008,1,1,none,1,846500
studio,biyem_assi,yaounde,3.849479,11.487027,I,6.0,6.0,36.0,1,1,1,0,0,0,1,0,1,0.0,0.0,0,0,0,1,0,1,0,4,3,1978,1,2,occupation,3,101500
office,bonaberi,douala,4.059209,9.65768,II,13.0,10.0,130.0,0,1,4,0,1,0,1,0,1,30.0,8.0,1,0,0,1,0,1,0,7,10,1977,1,2,occupation,6,536000
house,melen,yaounde,3.908913,11.535523,III,8.0,15.0,120.0,2,2,0,0,0,1,0,1,1,0.0,0.0,0,0,0,0,1,1,0,3,7,2023,1,10,occupation,2,170000
house,ndogpassi,douala,4.092261,9.742669,III,13.0,9.0,117.0,3,2,0,0,0,1,1,0,0,0.0,0.0,0,0,0,1,1,0,0,10,10,2012,1,2,foncier,3,225500
land,cite_sic,douala,4.060024,9.723445,IV,29.0,8.0,232.0,0,0,0,0,1,0,1,1,1,0.0,0.0,0,0,0,1,1,0,0,5,4,1990,0,6,none,3,20500
apartment,makepe,douala,4.075442,9.730634,V,8.0,11.0,88.0,4,1,3,0,1,1,0,0,0,0.0,0.0,0,0,1,0,0,1,0,3,3,1995,0,5,occupation,2,152500
shop,bonaberi,douala,4.05627,9.656409,I,7.0,4.0,28.0,0,1,1,0,1,0,1,0,1,0.0,11.0,0,0,0,1,0,0,1,8,6,1999,0,4,none,3,256000
apartment,nkoldongo,yaounde,3.829219,11.485488,II,13.0,6.0,78.0,3,2,3,0,1,0,1,0,1,0.0,0.0,0,0,0,0,0,0,1,3,5,2004,0,6,occupation,3,222000
land,melen,yaounde,3.910401,11.540473,IV,31.0,24.0,744.0,0,0,0,0,0,1,1,1,1,0.0,0.0,0,0,1,0,0,1,0,3,10,2009,0,4,occupation,3,120500
store,nkoldongo,yaounde,3.828339,11.480935,III,21.0,18.0,378.0,0,1,0,0,1,1,1,1,0,0.0,17.0,3,0,0,0,1,1,1,10,8,2014,0,4,none,6,844500
apartment,makepe,douala,4.074128,9.738637,I,13.0,4.0,52.0,3,2,1,1,1,0,0,1,0,0.0,0.0,0,0,0,1,1,1,0,5,3,2020,0,6,none,3,176000
apartment,bonanjo,douala,4.045225,9.693608,III,10.0,4.0,40.0,4,1,1,0,0,1,1,0,1,0.0,0.0,0,0,0,0,1,1,1,7,8,2016,1,8,none,1,278500
store,melen,yaounde,3.913876,11.541051,III,9.0,18.0,162.0,0,1,0,0,0,0,1,1,0,0.0,9.0,5,1,0,1,0,1,1,7,5,1989,0,8,none,3,378500
store,bastos,yaounde,3.879505,11.508057,III,16.0,8.0,128.0,0,1,0,0,0,1,1,1,1,0.0,5.0,5,0,1,0,0,1,1,8,8,1986,0,3,foncier,6,582000
house,omnisport,yaounde,3.874742,11.518419,III,8.0,8.0,64.0,4,2,0,0,1,1,1,1,1,0.0,0.0,0,0,0,1,0,0,1,5,10,1990,0,10,foncier,6,357500
shop,olembe,yaounde,3.951943,11.49794,III,7.0,9.0,63.0,0,1,0,0,1,1,1,0,0,0.0,10.0,1,0,0,1,0,1,0,7,7,2017,0,5,occupation,1,328000
apartment,nyalla,douala,4.103715,9.759565,I,12.0,8.0,96.0,4,2,3,0,0,1,0,0,1,0.0,0.0,0,0,1,1,0,1,0,3,9,1983,0,2,occupation,6,289000
studio,bonapriso,douala,4.03686,9.68178,IV,4.0,6.0,24.0,1,1,0,0,0,0,1,1,0,0.0,0.0,0,0,1,1,0,0,0,7,6,1980,0,7,occupation,2,146000
house,essos,yaounde,3.875574,11.528194,III,6.0,11.0,66.0,3,2,0,0,1,0,1,1,0,0.0,0.0,0,0,0,0,0,0,0,10,9,1996,0,4,none,2,207500
studio,ndogpassi,douala,4.091888,9.74597,V,4.0,4.0,16.0,1,1,3,0,0,1,1,1,1,0.0,0.0,0,0,1,0,0,1,1,6,6,1987,0,5,occupation,6,90500
apartment,nlongkak,yaounde,3.860114,11.505353,IV,14.0,8.0,112.0,3,1,2,0,0,0,1,0,0,0.0,0.0,0,0,1,1,0,0,0,5,4,1992,0,5,none,1,170000
house,nkol_foulou,yaounde,3.815561,11.480313,I,6.0,9.0,54.0,5,2,0,1,0,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,4,10,2013,0,8,occupation,3,203000
house,logpom,douala,4.076702,9.722245,III,16.0,14.0,224.0,3,2,0,1,0,1,1,1,1,0.0,0.0,0,0,0,0,0,0,0,8,4,1984,0,1,occupation,1,281000
apartment,ndogpassi,douala,4.094845,9.745651,I,9.0,4.0,36.0,2,2,3,1,1,0,1,1,1,0.0,0.0,0,0,0,1,0,1,0,9,6,2011,0,3,occupation,3,180500
shop,ndogpassi,douala,4.088308,9.747443,III,12.0,4.0,48.0,0,0,0,0,0,0,1,0,0,0.0,17.0,4,0,0,1,0,0,1,4,5,2020,1,10,none,6,273500
store,bastos,yaounde,3.882634,11.514925,IV,24.0,10.0,240.0,0,0,0,0,1,1,1,1,1,0.0,8.0,0,1,0,1,0,1,0,8,7,2003,0,4,occupation,1,667500
land,bonaberi,douala,4.051374,9.656474,III,17.0,6.0,102.0,0,0,0,0,1,1,1,1,0,0.0,0.0,0,0,0,0,0,1,0,4,5,2019,1,10,foncier,2,10000
shop,logpom,douala,4.075676,9.71973,II,7.0,5.0,35.0,0,0,0,0,1,1,1,0,1,0.0,13.0,2,0,0,1,0,0,0,3,4,2011,1,9,foncier,3,238000
studio,deido,douala,4.055361,9.712836,IV,4.0,6.0,24.0,1,1,1,0,0,0,1,0,0,0.0,0.0,0,0,1,1,0,1,0,9,10,1995,1,9,foncier,3,110000
studio,ngousso,yaounde,3.894313,11.532639,III,6.0,5.0,30.0,1,1,2,0,1,0,1,0,1,0.0,0.0,0,0,1,1,0,0,0,6,9,1989,0,6,none,6,154500
house,bonaberi,douala,4.059336,9.656383,II,9.0,12.0,108.0,2,2,0,0,0,1,1,0,0,0.0,0.0,0,0,1,0,1,0,0,6,4,2008,0,6,occupation,1,153500
land,nyalla,douala,4.098687,9.756674,III,27.0,27.0,729.0,0,0,0,0,1,0,1,1,0,0.0,0.0,0,0,0,0,0,1,1,7,5,2006,0,9,occupation,3,107500
land,olembe,yaounde,3.954768,11.490319,III,39.0,28.0,1092.0,0,0,0,0,1,0,1,1,1,0.0,0.0,0,0,1,1,0,1,0,5,3,1999,0,7,occupation,1,188500
land,ndogpassi,douala,4.089487,9.746842,V,36.0,34.0,1224.0,0,0,0,0,1,0,1,1,1,0.0,0.0,0,0,0,1,1,0,1,3,4,2001,0,1,foncier,6,124000
store,melen,yaounde,3.913875,11.539624,III,12.0,11.0,132.0,0,0,0,0,0,0,1,0,0,0.0,9.0,4,0,0,0,0,1,0,7,6,1979,0,1,none,6,286000
studio,melen,yaounde,3.905333,11.543348,IV,8.0,3.0,24.0,1,1,2,0,1,0,1,1,0,0.0,0.0,0,0,0,0,0,1,1,10,7,1981,1,5,foncier,3,96000
apartment,cite_sic,douala,4.062073,9.720246,II,10.0,10.0,100.0,2,2,2,0,1,1,0,0,0,0.0,0.0,0,0,1,1,0,1,1,3,6,1990,0,2,occupation,3,259000
house,bonaberi,douala,4.058112,9.658815,V,17.0,11.0,187.0,3,2,0,0,1,0,1,0,1,0.0,0.0,0,0,1,1,1,0,1,6,6,2022,0,4,occupation,3,176000
land,bastos,yaounde,3.879873,11.507259,IV,12.0,7.0,84.0,0,0,0,0,0,0,1,1,0,0.0,0.0,0,0,1,0,0,0,0,6,3,1993,0,2,occupation,3,58000
apartment,essos,yaounde,3.879616,11.526075,II,15.0,4.0,60.0,3,1,4,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,1,0,10,5,1983,1,10,occupation,6,221000
house,bonanjo,douala,4.040998,9.694009,V,18.0,10.0,180.0,4,3,0,0,1,1,1,0,1,0.0,0.0,0,0,0,1,0,1,0,6,5,1989,0,5,none,2,305000
house,nkoldongo,yaounde,3.831258,11.484164,II,11.0,15.0,165.0,4,3,0,0,0,0,1,1,1,0.0,0.0,0,0,1,0,1,0,0,9,3,2009,0,10,none,6,291000
apartment,logpom,douala,4.082927,9.720972,V,13.0,11.0,143.0,2,1,2,0,1,1,0,0,0,0.0,0.0,0,0,0,1,0,0,0,3,6,2006,1,3,occupation,2,129000
office,yassa,douala,4.030393,9.784,III,24.0,7.0,168.0,0,2,0,0,1,1,1,0,1,30.0,6.0,1,0,1,1,0,1,1,6,3,2006,0,1,none,1,580500
store,nkol_foulou,yaounde,3.824919,11.479764,II,11.0,13.0,143.0,0,0,0,0,1,0,1,0,0,0.0,19.0,0,1,0,0,0,0,1,9,4,2007,0,3,occupation,6,363000
house,ndogpassi,douala,4.093438,9.749281,III,15.0,15.0,225.0,4,1,0,0,1,0,1,1,0,0.0,0.0,0,0,1,0,0,0,0,6,5,2008,0,8,occupation,3,294500
studio,ekounou,yaounde,3.805472,11.548784,III,4.0,3.0,12.0,1,1,1,0,1,0,0,0,1,0.0,0.0,0,0,0,1,0,0,1,7,10,2009,0,1,occupation,6,101500
land,deido,douala,4.06483,9.711487,III,45.0,13.0,585.0,0,0,0,0,1,1,1,1,0,0.0,0.0,0,0,1,1,1,1,1,5,10,1979,0,2,occupation,6,179500
house,bonanjo,douala,4.041721,9.694645,III,21.0,6.0,126.0,3,3,0,0,1,1,0,0,1,0.0,0.0,0,0,1,1,0,1,0,5,5,2003,1,1,occupation,6,375000
apartment,akwa,douala,4.050096,9.701105,III,12.0,9.0,108.0,2,2,3,0,0,0,1,1,1,0.0,0.0,0,0,0,1,0,1,0,6,6,1976,0,5,occupation,2,276500
apartment,bonanjo,douala,4.048339,9.694963,II,6.0,5.0,30.0,3,1,4,0,0,1,1,0,1,0.0,0.0,0,0,1,1,0,1,0,8,4,2002,0,3,occupation,2,337500
office,nkoldongo,yaounde,3.830326,11.481375,II,12.0,11.0,132.0,0,1,5,0,1,0,1,0,0,0.0,14.0,2,0,0,1,0,0,0,10,10,1979,0,8,occupation,1,520000
office,makepe,douala,4.077193,9.739662,III,19.0,14.0,266.0,0,1,3,0,0,1,1,0,1,0.0,8.0,4,0,1,1,0,0,0,10,9,1978,0,8,foncier,6,859500
studio,makepe,douala,4.075793,9.736255,III,7.0,3.0,21.0,1,1,0,0,0,0,1,0,1,0.0,0.0,0,0,1,1,0,0,1,4,9,2006,0,9,foncier,3,109500
house,nlongkak,yaounde,3.862623,11.510415,III,14.0,11.0,154.0,6,2,0,0,1,0,1,0,1,0.0,0.0,0,0,1,1,0,1,0,9,5,2008,0,5,foncier,3,390000
studio,mvog_mbi,yaounde,3.851461,11.500205,III,4.0,3.0,12.0,1,1,2,0,0,0,1,1,1,0.0,0.0,0,0,0,1,0,1,0,3,3,2007,0,3,foncier,6,86500
land,bonapriso,douala,4.030736,9.687131,I,15.0,26.0,390.0,0,0,0,0,1,0,1,0,1,0.0,0.0,0,0,0,1,0,1,0,3,10,1999,0,3,occupation,2,202500
apartment,bonanjo,douala,4.046904,9.69392,II,10.0,10.0,100.0,5,1,2,1,0,1,1,0,0,0.0,0.0,0,0,0,1,0,0,0,4,10,2011,0,8,none,6,349000
land,makepe,douala,4.073609,9.739493,IV,48.0,47.0,2256.0,0,0,0,0,1,1,1,0,1,0.0,0.0,0,0,1,1,0,1,0,4,10,2019,0,9,occupation,6,320000
house,bastos,yaounde,3.882497,11.51501,II,14.0,5.0,70.0,4,3,0,0,0,1,1,0,1,0.0,0.0,0,0,0,1,0,1,1,6,10,2024,1,9,occupation,6,436500
apartment,ekounou,yaounde,3.806093,11.550906,IV,15.0,4.0,60.0,3,1,3,0,1,0,0,0,1,0.0,0.0,0,0,1,0,0,0,0,6,6,2011,0,10,occupation,3,143000
house,mvog_mbi,yaounde,3.850648,11.501153,V,12.0,9.0,108.0,3,1,0,1,1,1,1,1,0,0.0,0.0,0,0,1,1,0,0,0,4,8,1979,1,1,occupation,1,132000
apartment,bastos,yaounde,3.882047,11.509403,II,10.0,6.0,60.0,3,2,2,0,1,0,0,0,0,0.0,0.0,0,0,0,1,0,1,0,7,4,2003,0,8,none,6,356500
shop,nyalla,douala,4.104567,9.763917,III,13.0,7.0,91.0,0,0,0,0,1,1,1,0,0,0.0,5.0,3,0,0,1,0,0,0,10,10,1987,0,4,foncier,3,451000
land,bonanjo,douala,4.047777,9.691076,II,46.0,22.0,1012.0,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,1,1,0,0,0,7,8,2020,0,9,foncier,1,274500
studio,bonanjo,douala,4.042867,9.690582,III,4.0,6.0,24.0,1,1,2,0,0,1,1,0,0,0.0,0.0,0,0,1,0,0,1,0,3,5,2023,0,2,foncier,1,187500
office,nlongkak,yaounde,3.865338,11.509487,III,27.0,19.0,513.0,0,2,2,0,1,1,1,1,0,20.0,18.0,4,0,1,0,0,0,1,8,7,2023,0,9,foncier,2,1659500
studio,ekounou,yaounde,3.808898,11.548785,I,5.0,6.0,30.0,1,1,1,0,0,0,1,0,1,0.0,0.0,0,0,1,0,0,0,1,9,8,1977,0,6,none,1,135500
studio,bonaberi,douala,4.052024,9.658577,IV,8.0,4.0,32.0,1,1,1,0,0,1,1,0,1,0.0,0.0,0,0,1,1,0,1,0,4,9,2000,0,7,occupation,6,97500
office,ekounou,yaounde,3.81421,11.547255,II,21.0,11.0,231.0,0,1,2,0,1,1,1,1,0,0.0,14.0,5,0,1,1,0,0,0,9,6,2003,0,4,none,1,843000
studio,akwa,douala,4.043957,9.704717,IV,6.0,5.0,30.0,1,1,1,0,1,1,0,1,0,0.0,0.0,0,0,0,0,1,1,1,3,9,1986,0,4,occupation,3,162500
house,makepe,douala,4.075489,9.730044,V,19.0,5.0,95.0,5,2,0,0,1,0,1,0,1,0.0,0.0,0,0,1,0,1,0,0,8,3,1993,0,8,occupation,2,176500
warehouse,deido,douala,4.061424,9.706107,IV,16.0,27.0,432.0,0,0,0,0,0,0,1,1,1,20.0,8.0,5,1,1,0,0,0,0,7,8,1993,0,4,occupation,3,406500
apartment,makepe,douala,4.077207,9.737112,II,6.0,6.0,36.0,2,1,1,0,1,0,1,1,1,0.0,0.0,0,0,0,0,1,0,0,6,7,2014,0,6,foncier,6,198500
warehouse,cite_sic,douala,4.061292,9.729257,II,26.0,27.0,702.0,0,0,0,0,1,1,1,0,1,10.0,6.0,3,1,1,1,0,0,0,10,5,2007,0,7,occupation,3,636000
land,nyalla,douala,4.095233,9.761903,III,58.0,27.0,1566.0,0,0,0,0,1,1,1,1,1,0.0,0.0,0,0,1,1,0,1,1,3,3,1994,1,2,foncier,2,243000
apartment,bonanjo,douala,4.041692,9.697456,III,14.0,7.0,98.0,2,2,3,0,0,0,1,1,1,0.0,0.0,0,0,1,1,0,0,0,9,9,1980,0,6,none,3,342500
warehouse,logpom,douala,4.077326,9.72475,IV,13.0,38.0,494.0,0,1,0,0,0,0,1,1,1,0.0,5.0,1,0,0,1,0,0,1,5,4,2002,0,5,foncier,3,269000
house,nkoldongo,yaounde,3.82802,11.48011,V,7.0,9.0,63.0,2,2,0,0,0,1,1,0,1,0.0,0.0,0,0,1,1,0,0,1,4,8,1991,0,7,none,3,117000
apartment,nlongkak,yaounde,3.864761,11.513975,I,5.0,9.0,45.0,2,1,2,0,1,0,1,0,1,0.0,0.0,0,0,0,1,0,1,1,8,6,2016,1,2,occupation,2,257000
house,cite_sic,douala,4.066867,9.720889,IV,20.0,8.0,160.0,3,2,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0,4,7,1990,0,8,none,1,192000
studio,odza,yaounde,3.931514,11.562694,III,7.0,3.0,21.0,1,1,1,0,0,0,1,0,0,0.0,0.0,0,0,0,1,0,1,0,9,7,1975,0,1,none,3,90500
land,bonapriso,douala,4.037244,9.68738,I,42.0,38.0,1596.0,0,0,0,0,1,0,1,0,1,0.0,0.0,0,0,0,1,0,0,0,8,10,1989,0,3,occupation,2,423500
house,bonanjo,douala,4.040375,9.699306,IV,18.0,15.0,270.0,6,3,0,0,0,1,1,0,1,0.0,0.0,0,0,1,1,0,0,0,6,9,1996,0,3,none,3,485000
shop,makepe,douala,4.073542,9.731879,II,11.0,8.0,88.0,0,0,0,0,1,1,1,1,0,0.0,13.0,4,0,0,0,1,1,0,10,7,1981,0,1,none,6,557000
studio,cite_sic,douala,4.06424,9.725831,V,4.0,4.0,16.0,1,1,1,0,1,1,1,0,1,0.0,0.0,0,0,0,0,0,1,1,8,4,2010,1,4,occupation,3,50500
office,essos,yaounde,3.87724,11.530804,II,16.0,16.0,256.0,0,1,1,0,1,1,1,0,1,0.0,11.0,4,0,0,1,0,1,0,7,5,2010,0,5,foncier,6,930500
shop,omnisport,yaounde,3.870646,11.518594,IV,7.0,6.0,42.0,0,0,0,0,1,1,1,1,1,0.0,12.0,1,0,1,1,1,1,0,8,9,2008,0,8,none,2,421500
warehouse,bastos,yaounde,3.874196,11.508114,II,35.0,29.0,1015.0,0,0,0,0,0,1,1,0,1,20.0,6.0,2,0,1,0,0,1,0,7,10,1984,0,9,occupation,6,1040500
apartment,deido,douala,4.058965,9.714003,IV,12.0,5.0,60.0,4,1,2,0,0,0,1,1,1,0.0,0.0,0,0,0,1,0,0,0,3,5,1990,1,10,foncier,3,167000
house,melen,yaounde,3.909238,11.537641,III,17.0,13.0,221.0,3,1,0,0,1,0,1,0,1,0.0,0.0,0,0,0,1,0,1,1,4,10,1996,0,6,none,3,271000
house,bonaberi,douala,4.050838,9.65547,II,14.0,14.0,196.0,3,3,0,0,0,1,1,0,0,0.0,0.0,0,0,1,1,0,0,1,9,8,1987,1,1,foncier,3,320500
house,deido,douala,4.062673,9.71335,III,10.0,9.0,90.0,2,2,0,0,1,1,0,1,1,0.0,0.0,0,0,0,1,0,0,1,7,4,2006,0,7,none,3,239500
shop,cite_sic,douala,4.06696,9.726605,IV,13.0,5.0,65.0,0,0,0,0,1,1,1,1,1,0.0,8.0,5,0,0,1,0,1,0,3,3,1995,1,5,foncier,2,306500
store,ngousso,yaounde,3.897494,11.530192,III,17.0,9.0,153.0,0,0,0,0,1,0,1,0,1,0.0,18.0,5,0,1,0,0,1,1,3,3,2000,1,6,occupation,6,363000
house,bonaberi,douala,4.055871,9.658941,III,18.0,15.0,270.0,4,3,0,1,0,1,1,0,0,0.0,0.0,0,0,1,1,0,1,1,9,8,1984,0,3,foncier,3,366500
store,bonaberi,douala,4.055145,9.659233,III,12.0,11.0,132.0,0,1,0,0,1,0,1,0,1,0.0,12.0,5,0,1,1,0,1,1,6,8,1981,0,7,none,1,324500
office,nyalla,douala,4.097278,9.759725,I,16.0,5.0,80.0,0,2,3,0,1,1,1,0,0,30.0,10.0,2,0,1,1,0,0,1,5,3,1982,0,1,occupation,3,483000
office,olembe,yaounde,3.949407,11.499077,III,29.0,18.0,522.0,0,2,1,0,0,1,1,0,0,50.0,11.0,5,0,1,1,0,1,1,5,9,2002,0,8,none,3,1582000
